
East Lancs Line | Preston – Lostock Hall – Bamber Bridge – Pleasington – Cherry Tree – Mill Hill – Blackburn – Rishton – Church & Oswaldtwistle – Accrington – Huncoat – Hapton – Rose Grove – Burnley Barracks – Burnley Central – Brierfield – Nelson – Colne | 1tph

West Lancs Line | Ormskirk – Burscough Junction – Rufford – Croston – Preston | 1tph

CLC Line | Liverpool Lime Street – Edge Hill – Mossley Hill – West Allerton – Liverpool South Parkway –                          Hough Green –                               Warrington West – Warrington Central – Padgate – Birchwood –              Irlam – Flixton –                Urmston – Humphrey Park – Trafford Park – Manchester Oxford Road | 0.5tph
CLC Line | Liverpool Lime Street – Edge Hill – Mossley Hill – West Allerton – Liverpool South Parkway –                          Hough Green –                               Warrington West – Warrington Central – Padgate – Birchwood – Glazebrook – Irlam – Flixton – Chassen Road – Urmston –                                 Manchester Oxford Road | 0.5tph
CLC Line | Liverpool Lime Street –             Mossley Hill – West Allerton – Liverpool South Parkway – Hunts Cross – Halewood – Hough Green – Widnes – Sankey for Penketh – Warrington West – Warrington Central | 1tph

Chat Moss Line | Liverpool Lime Street – Edge Hill – Wavertree Technology Park – Broad Green – Roby – Huyton – Whiston – Rainhill – Lea Green – St Helens Junction – Earlestown – Newton-le-Willows – Patricroft – Eccles – Deansgate – Manchester Oxford Road – Manchester Piccadilly – Mauldeth Road – Burnage – East Didsbury – Gatley – Heald Green – Manchester Airport | 1tph

North Cheshire Line | Ellesmere Port – Ince & Elton – Helsby | 2tpd

Airport Line | Manchester Piccadilly – Mauldeth Road – Burnage – East Didsbury – Gatley – Heald Green – Manchester Airport – Styal – Wilmslow – Alderley Edge – Holmes Chapel – Sandbach – Crewe | 1tph

Crewe Line | Manchester Piccadilly – Levenshulme – Heaton Chapel – Stockport – Cheadle Hulme – Handforth – Wilmslow – Alderley Edge – Chelford – Goostrey – Holmes Chapel – Sandbach – Crewe | 1tph
Crewe Line | Manchester Piccadilly – Levenshulme – Heaton Chapel – Stockport – Cheadle Hulme – Handforth – Wilmslow – Alderley Edge | 1tph

Mid-Cheshire Line | Manchester Piccadilly – Stockport – Navigation Road – Altrincham – Hale – Ashley – Mobberley – Knutsford – Plumley – Lostock Gralam – Northwich – Greenbank – Cuddington – Delamere – Mouldsworth – Chester | 1tph

Stoke Line | Manchester Piccadilly – Stockport – Cheadle Hulme – Bramhall – Poynton – Adlington – Prestbury – Macclesfield – Congleton – Kidsgrove – Stoke-on-Trent | 1tph

Buxton Line | Manchester Piccadilly – Levenshulme – Heaton Chapel – Stockport – Davenport – Woodsmoor – Hazel Grove – Middlewood – Disley – New Mills Newtown – Furness Vale – Whaley Bridge – Chapel-en-le-Frith – Dove Holes – Buxton | 0.5tph
Buxton Line | Manchester Piccadilly – Levenshulme – Heaton Chapel – Stockport – Davenport – Woodsmoor – Hazel Grove –              Disley – New Mills Newtown – Furness Vale – Whaley Bridge – Chapel-en-le-Frith –              Buxton | 0.5tph
Buxton Line | Manchester Piccadilly – Levenshulme – Heaton Chapel – Stockport – Davenport – Woodsmoor – Hazel Grove | 1tph

Glossop Line | Manchester Piccadilly – Ardwick – Ashburys – Guide Bridge – Flowery Field – Newton for Hyde – Godley – Hattersley – Broadbottom – Dinting – Glossop – Hadfield | 2tph

Marple Line | Manchester Piccadilly – Ashburys – Gorton – Fairfield – Guide Bridge – Hyde North – Hyde Central – Woodley – Romiley – Rose Hill Marple | 2tph

Hope Valley Line | Manchester Piccadilly – Ardwick – Ashburys – Belle Vue – Ryder Brow – Reddish North – Brinnington – Bredbury – Romiley – Marple – Strines – New Mills Central | 1tph
Hope Valley Line | Manchester Piccadilly –                                               Reddish North – Brinnington – Bredbury – Romiley – Marple –           New Mills Central – Chinley – Edale – Hope – Bamford – Hathersage – Grindleford – Dore & Totley – Sheffield | 1tph

Southport Line | Southport – Meols Cop – Burscough Bridge – Parbold – Appley Bridge – Gathurst – Wigan Wallgate – Ince – Hindley – Westhoughton – Bolton – Salford Crescent – Deansgate – Manchester Oxford Road | 1tph

Stalybridge Line | Southport – Meols Cop – Bescar Lane – New Lane – Burscough Bridge – Hoscar – Parbold – Appley Bridge – Gathurst – Wigan Wallgate – Ince – Hindley – Westhoughton – Bolton – Moses Gate – Farnworth – Kearsley –           Salford Crescent – Salford Central – Manchester Victoria – Ashton-under-Lyne – Stalybridge | 0.5tph
Stalybridge Line | Southport – Meols Cop –                          Burscough Bridge –          Parbold – Appley Bridge – Gathurst – Wigan Wallgate – Ince – Hindley – Westhoughton – Bolton – Moses Gate – Farnworth – Kearsley – Clifton – Salford Crescent – Salford Central – Manchester Victoria – Ashton-under-Lyne – Stalybridge | 0.5tph

Calder Valley Line | Headbolt Lane – Rainford – Upholland – Orrell – Pemberton – Wigan Wallgate – Hindley – Daisy Hill – Hag Fold – Atherton – Walkden – Swinton – Salford Crescent – Salford Central – Manchester Victoria – Rochdale – Smithy Bridge – Littleborough – Todmorden – Burnley Manchester Road – Rose Grove – Accrington – Blackburn | 1tph

