
Northumberland Line || Newcastle - Manors (1tph) - Seaton Delaval - Newsham - Ashington || 2tph
Chat Moss Line || Liverpool Lime Street - Edge Hill - Wavertree Technology Park - Broad Green - Roby - Huyton - Whiston - Rainhill - Lea Green - St Helens Junction - Earlestown - Newton-le-Willows - Patricroft - Eccles - Deansgate - Manchester Oxford Road - Manchester Piccadilly - Mauldeth Road - Burnage - East Didsbury - Gatley - Heald Green - Manchester Airport || 1tph

North Cheshire Line || Ellesmere Port - Ince & Elton - Helsby || 2tpd

Airport Line || Manchester Piccadilly - Mauldeth Road - Burnage - East Didsbury - Gatley - Heald Green - Manchester Airport - Styal - Wilmslow - Alderley Edge - Holmes Chapel - Sandbach - Crewe || 1tph

Crewe Line || Manchester Piccadilly - Levenshulme - Heaton Chapel - Stockport - Cheadle Hulme - Handforth - Wilmslow - Alderley Edge - Chelford - Goostrey - Holmes Chapel - Sandbach - Crewe || 1tph
Crewe Line || Manchester Piccadilly - Levenshulme - Heaton Chapel - Stockport - Cheadle Hulme - Handforth - Wilmslow - Alderley Edge || 1tph

Mid-Cheshire Line || Manchester Piccadilly - Stockport - Navigation Road - Altrincham - Hale - Ashley - Mobberley - Knutsford - Plumley - Lostock Gralam - Northwich - Greenbank - Cuddington - Delamere - Mouldsworth - Chester || 1tph

Stoke Line || Manchester Piccadilly - Stockport - Cheadle Hulme - Bramhall - Poynton - Adlington - Prestbury - Macclesfield - Congleton - Kidsgrove - Stoke-on-Trent || 1tph

Buxton Line || Manchester Piccadilly - Levenshulme - Heaton Chapel - Stockport - Davenport - Woodsmoor - Hazel Grove - Middlewood (1tp2h) - Disley - New Mills Newtown - Furness Vale - Whaley Bridge - Chapel-en-le-Frith - Dove Holes (1tp2h) - Buxton || 1tph
Buxton Line || Manchester Piccadilly - Levenshulme - Heaton Chapel - Stockport - Davenport - Woodsmoor - Hazel Grove || 1tph

Glossop Line || Manchester Piccadilly - Ardwick - Ashburys - Guide Bridge - Flowery Field - Newton for Hyde - Godley - Hattersley - Broadbottom - Dinting - Glossop - Hadfield || 2tph

Marple Line || Manchester Piccadilly - Gorton - Fairfield - Guide Bridge - Hyde North - Hyde Central - Woodley - Romiley - Rose Hill Marple || 4tp3h

Hope Valley Line || Manchester Piccadilly - Ashburys - Belle Vue - Ryder Brow - Reddish North - Brinnington - Bredbury - Romiley - Marple - Strines - New Mills Central || 1tph
Hope Valley Line || Manchester Piccadilly -                                     Reddish North - Brinnington - Bredbury - Romiley - Marple -           New Mills Central - Chinley - Edale - Hope - Bamford - Hathersage - Grindleford - Dore & Totley - Sheffield || 1tph

Southport Line || Southport to Manchester Oxford Road || 1 || Meols Cop - Burscough Bridge - Parbold - Appley Bridge - Gathurst - Wigan Wallgate - Hindley - Westhoughton - Bolton - Salford Crescent - Deansgate

Stalybridge Line || Southport to Stalybridge || 1 || Meols Cop - Bescar Lane (1tp2h) - New Lane (1tp2h) - Burscough Bridge - Hoscar (1tp2h) - Parbold - Appley Bridge - Gathurst - Wigan Wallgate - Hindley - Westhoughton - Bolton - Moses Gate - Farnworth - Kearsley - Clifton|Greater Manchester (1tpd) - Salford Crescent - Salford Central - Manchester Victoria - Ashton-under-Lyne

Calder Valley Line || Headbolt Lane to Blackburn|| 1 ||Rainford - Upholland - Orrell - Pemberton - Wigan Wallgate - Hindley - Daisy Hill - Hag Fold - Atherton - Walkden - Swinton|Greater Manchester - Salford Crescent - Salford Central - Manchester Victoria - Rochdale - Smithy Bridge - Littleborough - Todmorden - Burnley Manchester Road - Rose Grove - Accrington

Ribble Valley Line ||                                                         Blackburn - Darwen -             Bromley Cross - Hall i' th' Wood - Bolton - Salford Crescent - Salford Central - Manchester Victoria - Moston - Mills Hill - Castleton - Rochdale || 1tph
