systemName;region;route;banner;abbrev;city;root;altRouteNames
deujt;DEU-TH;1;;Jen;Jena;deuth.01jen;
deujt;DEU-TH;2;;Jen;Jena;deuth.02jen;
deujt;DEU-TH;3;;Jen;Jena;deuth.03jen;
deujt;DEU-TH;4;;Jen;Jena;deuth.04jen;
deujt;DEU-TH;5;;Jen;Jena;deuth.05jen;
