systemName;route;banner;groupName;roots
chnhlhrbm;1;;Harbin Metro Line 1;chnhl.hrbm01
chnhlhrbm;2;;Harbin Metro Line 2;chnhl.hrbm02
chnhlhrbm;3;;Harbin Metro Line 3;chnhl.hrbm03
