systemName;region;route;banner;abbrev;city;root;altRouteNames
jpshtos;JPN;TosGomLn;;;Gomen-Nahari Line;jpntos.gomen;
jpshtos;JPN;TosNakLn;;;Nakamura-Sukumo Line;jpntos.nakasuku;

