systemName;route;banner;groupName;roots
jpshkot;KotKotLn;;;Kotohira Line;jpnkot.kotohira
jpshkot;KotNagLn;;;Nagao Line;jpnkot.nagao
jpshkot;KotShiLn;;;Shido Line;jpnkot.shido
