systemName;region;route;banner;abbrev;city;root;altRouteNames
ukrkhm;UKR;KhoZavLn;;;Kholodnogorsk-Zavodskaya Liniya;
ukrkhm;UKR;SalLn;;;Saltivska Liniya;
ukrkhm;UKR;OleLn;;;Oleksiyivska Liniya;
