systemName;region;route;banner;abbrev;city;root;altRouteNames
argsub;ARG;A;;;Línea A;arg.a;
argsub;ARG;B;;;Línea B;arg.b;
argsub;ARG;C;;;Línea C;arg.c;
argsub;ARG;D;;;Línea D;arg.d;
argsub;ARG;E;;;Línea E;arg.e;
argsub;ARG;H;;;Línea H;arg.h;
