systemNameroutebanner;groupNameroots
autstw;1;;Wien;aut.01wie
autstw;2;;Wien;aut.02wie
autstw;5;;Wien;aut.05wie
autstw;6;;Wien;aut.06wie
autstw;9;;Wien;aut.09wie
autstw;10;;Wien;aut.10wie
autstw;11;;Wien;aut.11wie
autstw;18;;Wien;aut.18wie
autstw;25;;Wien;aut.25wie
autstw;26;;Wien;aut.26wie
autstw;30;;Wien;aut.30wie
autstw;31;;Wien;aut.31wie
autstw;33;;Wien;aut.33wie
autstw;37;;Wien;aut.37wie
autstw;38;;Wien;aut.38wie
autstw;40;;Wien;aut.40wie
autstw;41;;Wien;aut.41wie
autstw;42;;Wien;aut.42wie
autstw;43;;Wien;aut.43wie
autstw;44;;Wien;aut.44wie
autstw;46;;Wien;aut.46wie
autstw;49;;Wien;aut.49wie
autstw;52;;Wien;aut.52wie
autstw;60;;Wien;aut.60wie
autstw;62;;Wien;aut.62wie
autstw;71;;Wien;aut.71wie
autstw;D;;Wien;aut.0dwie
autstw;O;;Wien;aut.0owie
autstw;WLB;;Wiener Lokalbahn;aut.wlb
autstw;WRT;;Wiener Ringtram;aut.wrt
