systemName;region;route;banner;abbrev;city;root;altRouteNames
chnzjsxm;CHN-ZJ;1;;SX;Shaoxing Metro Line 1;chnzj.sxm01;
chnzjsxm;CHN-ZJ;2;;SX;Shaoxing Metro Line 2;chnzj.sxm02;
