systemName;route;banner;groupName;roots
ukrkhm;KhoZavLn;;Kholodnogorsk-Zavodskaya Liniya
ukrkhm;SalLn;;Saltivska Liniya
ukrkhm;OleLn;;Oleksiyivska Liniya

