systemName;route;banner;groupName;roots
usanjlr;HBLR;;Hoboken - Tonnelle Avenue;nj.hblrhtt
usanjlr;HBLR;;West Side Avenue - Tonnelle Avenue;nj.hblrwst
usanjlr;HBLR;;8th Street - Hoboken;nj.hblr8ht
usanjlr;NLR;;Newark City Subway;nj.newcitysub
usanjlr;NLR;;Broad Street Extension;nj.brostext
usanjlr;RivLn;;River LINE;nj.rivln
