systemName;region;route;banner;abbrev;city;root;altRouteNames
bravltrec;BRA-PE;LinOes;;;Linha Oeste;brape.linoes;
bravltrec;BRA-PE;LinSulVLT;;;Linha Sul (VLT);brape.linsulvlt;
