systemName;route;banner;groupName;roots
deuogrs;RS1;;Offenburg;deubw.rs01off;
deuogrs;RS2;;Offenburg;deubw.rs02off;
deuogrs;RS3;;Achern;deubw.rs03off;
deuogrs;RS4;;Offenburg;deubw.rs04off,frages.rs04off
deuogrs;RS11;;Housach;deubw.rs11off;
deuogrs;RS12;;Harmersbach;deubw.rs12off;
