systemName;region;route;banner;abbrev;city;root;altRouteNames
usalvct;NV;AE;;;Aria Express;nv.ae
usalvct;NV;MBT;;;Mandalay Bay Tram;nv.mbt
usalvct;NV;MTI;;;Mirage-Treasure Island Tram;nv.mti
