systemName;route;banner;groupName;roots
autst;S1;;Tir;;aut.s01tir
autst;S2;;Tir;;itatre.s02tir,aut.s02tir
autst;S3;;;Brennerbahn;aut.s03tir,itatre.s03tir
autst;S4;;;;aut.s04tir
autst;S5;;;;aut.s05tir
autst;S6;;;Mittenwaldbahn;deuby.s06tir
autst;S6;;;Mittenwaldbahn;aut.s06tir
autst;S7;;;Ausserfernbahn;deuby.s07pfr,aut.s07tir,deuby.s07tir
autst;S8;;;;aut.s08tir
autst;SZB1;;;Zillertalbahn;aut.szb1tir

