systemName;route;banner;groupName;roots
chebet;S14;;Arg;;che.s14arg
chebet;S23;;Arg;;che.s23arg
chebet;S25;;Arg;;che.s25arg
chebet;S26;;Arg;;che.s26arg
chebet;S27;;Arg;;che.s27arg,deubw.s27arg
chebet;S27;;Kob;Koblenz Dorf branch;che.s27kob
chebet;S28;;Arg;;che.s28arg
chebet;S29;;Arg;;che.s29arg
