systemName;region;route;banner;abbrev;city;root;altRouteNames
fraant;FRA-PDL;A;;;;frapdl.a;
fraant;FRA-PDL;B;;;;frapdl.b;
fraant;FRA-PDL;C;;;;frapdl.c;
