System;Region;Route;Banner;Abbrev;City;Root;AltRouteName
gbrcc;GBR;c2c;;;Fenchurch Street - Shoeburyness;gbr.c2c;
gbrcc;GBR;c2c;;Ock;Fenchurch Street - Ockendon - Tilbury - Pitsea;gbr.c2cock;
gbrcc;GBR;c2c;;Pur;Fenchurch Street - Purfleet - Grays;gbr.c2cpur;
gbrcc;GBR;c2c;;Str;Fenchurch Street - Stratford - Barking;gbr.c2cstr;
