System;Region;Route;Banner;Abbrev;City;Root;AltRouteName
gbrch;GBR;MarAly;;Am;Marylebone - Aylesbury via Amersham;grb.maralyam
gbrch;GBR;MarAly;;HW;Marylebone - Aylesbury via High Wycombe;gbr.maralyhw
gbrch;GBR;CML;;;Marylebone - Kidderminster;gbr.cml
gbrch;GBR;MarOxf;;;Marylebone - Oxford;gbr.maroxf;
gbrch;GBR;MarStr;;;Marylebone - Stratford-upon-Avon;gbr.marstr;
