System;CountryCode;Name;Color;Tier;Level
nzlkr;NZL;Kiwi Rail;TMgreen;2;preview
nzlwm;NZL;Wellington Metrolink;TMgreen;2;preview
panmp;PAN;Metro de Panamá;TMblue;3;preview
perml;PER;Metro de Lima;TMblue;3;preview
polksl;POL;Koleje Śląskie;TMgreen;2;preview
polpkm;POL;Poznańska Kolej Metropolitalna;TMgreen;2;preview
polskam;POL;Szybka Kolej Aglomeracyjna w Aglomeracji Krakowskiej;TMgreen;2;preview
polskmb;POL;Szybka Kolej Miejska BiTCity;TMgreen;2;preview
polskmt;POL;PKP Szybka Kolej Miejska w Trójmieście;TMgreen;2;preview
polskmw;POL;Szybka Kolej Miejska w Warszawie;TMgreen;2;preview
polwkd;POL;Warszawska Kolej Dojazdowa;TMgreen;2;preview
polwm;POL;Metro w Warszawie;TMblue;3;preview
polbt;POL;Tramwaje w Bydgoszczy;TMred;4;preview
polct;POL;Tramwaje w Częstochowie;TMred;4;preview
polet;POL;Tramwaje w Elblągu;TMred;4;preview
polgdt;POL;Tramwaje w Gdańsku;TMred;4;preview
polgwt;POL;Tramwaje w Gorzowie Wielkopolskim;TMred;4;preview
polgrt;POL;Tramwaje w Grudziądzu;TMred;4;preview
polkt;POL;Tramwaje w Krakowie;TMred;4;preview
pollt;POL;Tramwaje w Łodzi;TMred;4;preview
polot;POL;Tramwaje w Olsztynie;TMred;4;preview
polpt;POL;Tramwaje w Poznaniu;TMred;4;preview
polslt;POL;Tramwaje Śląskie;TMred;4;preview
polszt;POL;Tramwaje w Szczecinie;TMred;4;preview
poltt;POL;Tramwaje w Toruniu;TMred;4;preview
polwt;POL;Tramwaje w Warszawie;TMred;4;preview
polwrt;POL;Tramwaje we Wrocławiu;TMred;4;preview
prtlu;PRT;Urbanos de Lisboa;TMgreen;2;preview
prtpu;PRT;Urbanos de Porto;TMgreen;2;preview
prtlm;PRT;Metropolitano de Lisboa;TMblue;3;preview
prtpm;PRT;Metro do Porto;TMblue;3;preview
prtle;PRT;Elétricos de Lisboa;TMred;4;preview
prtmts;PRT;Metro Sul do Tejo;TMred;4;preview
prtpe;PRT;Elétricos do Porto;TMred;4;preview
prtse;PRT;Elétricos de Sintra;TMred;4;preview
roubm;ROU;Metroul din București;TMblue;3;preview
roubt;ROU;Tramvaiul din București (as-of July 2023);TMred;4;preview
sgpmrt;SGP;Singapore Mass Rapid Transit;TMblue;3;preview
sgplrt;SGP;Singapore Light Rail Transit;TMyellow;5;preview
srbbt;SRB;Belgrade trams;TMred;4;preview
svkzdb;SVK;Železničná_doprava v Bratislave;TMgreen;2;preview
svkedb;SVK;Električková_doprava v Bratislave;TMred;4;preview
svkedk;SVK;Električková_doprava v Košiciach;TMred;4;preview
svktez;SVK;Trenčianska elektrická železnica;TMred;4;preview
swegs;SWE;Göteborgs spårvagn;TMred;4;preview
swesj;SWE;Stockholms pendeltåg;TMgreen;2;preview
swest;SWE;Stockholms tunnelbana;TMblue;3;preview
swesl;SWE;Stockholms lokalbana;TMlightsalmon;4;preview
swess;SWE;Stockholms spårvagn;TMred;4;preview
thab;THA;Bangkok urban rail transit;TMblue;3;preview
turib;TUR;İstanbul Banliyö Treni;TMgreen;2;preview
turim;TUR;İstanbul Metrosu;TMblue;3;preview
turit;TUR;İstanbul Tramvayı;TMred;4;preview
turif;TUR;İstanbul Füniküleri;TMyellow;5;preview
twnhsr;CHN;Taiwan High Speed Rail;TMpurple;1;preview
twntpm;CHN;Taipei urban rail transit;TMblue;3;preview
ukrkme;UKR;Kyiv Miska Elektrychks;TMgreen;2;preview
ukrdnm;UKR;Dnipro Metropoliten;TMblue;3;preview
ukrkhm;UKR;Kharkiv Metropoliten;TMblue;3;preview
ukrkm;UKR;Kyiv Metropoliten;TMblue;3;preview
ukrkrst;UKR;Kryvyi Rih Shvydkisnyj Tramvaj;TMred;4;preview
ukrkst;UKR;Kyiv Shvydkisnyj Tramvaj;TMred;4;preview
ukrdnt;UKR;Dnipro Tramvaj;TMlightsalmon;4;preview
ukrkht;UKR;Kharkiv Tramvaj;TMlightsalmon;4;preview
ukrkrt;UKR;Kryvyi Rih Tramvaj;TMlightsalmon;4;preview
ukrkt;UKR;Kyiv Tramvaj;TMlightsalmon;4;preview
ukrzat;UKR;Zaporozhye Tramvaj;TMlightsalmon;4;preview
uryafe;URY;Administración de Ferrocarriles del Estado;TMpurple;1;preview
usaamtk;USA;Amtrak;TMpurple;1;preview
usaarr;USA;Alaska Railroad;TMpurple;1;preview
usablfx;USA;Brightline;TMgreen;2;preview
usacfr;USA;SunRail;TMgreen;2;preview
usacndx;USA;CTrail;TMgreen;2;preview
usalirr;USA;Long Island Rail Road;TMgreen;2;preview
usamarc;USA;MARC Train;TMgreen;2;preview
usambtx;USA;MBTA Commuter Rail;TMgreen;2;preview
usametx;USA;Chicago Metra;TMgreen;2;preview
usamncw;USA;Metro-North;TMgreen;2;preview
usanctc;USA;San Diego NCTD Commuter Rail;TMgreen;2;preview
usanjtr;USA;NJ Transit Rail;TMgreen;2;preview
usanmrx;USA;New Mexico Rail Runner Express;TMgreen;2;preview
usartdx;USA;Denver RTD Commuter Rail;TMgreen;2;preview
usascax;USA;L.A. Metrolink;TMgreen;2;preview
usasepa;USA;SEPTA Regional Rail;TMgreen;2;preview
usautax;USA;UTA FrontRunner;TMgreen;2;preview
usavrex;USA;Virginia Railway Express;TMgreen;2;preview
usatr;USA;United States Tourist/Heritage Railroads;TMgreen;2;preview
usatrcx;USA;Tri-Rail;TMgreen;2;preview
usaace;USA;Altamont Corridor Express;TMgreen;2;preview
usajpbx;USA;Caltrain;TMgreen;2;preview
usasmart;USA;Sonoma-Marin Area Rail Transit;TMgreen;2;preview
usanicd;USA;Northern Indiana Commuter Transportation District;TMgreen;2;preview
usamnrx;USA;Northstar Line;TMgreen;2;preview
usawes;USA;Westside Express Service;TMgreen;2;preview
usanrtx;USA;WeGo Star;TMgreen;2;preview
usacmr;USA;CapMetro Rail;TMgreen;2;preview
usadcta;USA;Denton County Transportation Authority;TMgreen;2;preview
usatmdart;USA;Dallas/Fort Worth Commuter Railroads;TMgreen;2;preview
usasdrx;USA;Sounder;TMgreen;2;preview
usabmsl;USA;Baltimore Metro SubwayLink;TMblue;3;preview
usambta;USA;MBTA Subway;TMblue;3;preview
usapatco;USA;PATCO Speedline;TMblue;3;preview
usasepta;USA;SEPTA rapid transit;TMblue;3;preview
usanycs;USA;New York City Subway;TMblue;3;preview
usapath;USA;Port Authority Trans-Hudson Railroad;TMblue;3;preview
usasir;USA;Staten Island Railway;TMblue;3;preview
usawdw;USA;Walt Disney World Monorail;TMblue;3;preview
usawmat;USA;Washington Metro;TMblue;3;preview
usamarta;USA;MARTA Rail;TMblue;3;preview
usamdt;USA;Miami-Dade Metrorail;TMblue;3;preview
usarta;USA;Cleveland RTA Heavy Rail;TMblue;3;preview
usacta;USA;Chicago L;TMblue;3;preview
usalvm;USA;Las Vegas Monorail;TMblue;3;preview
usalams;USA;L.A. Metro Subway;TMblue;3;preview
usabart;USA;Bay Area Rapid Transit;TMblue;3;preview
usaharthi;USA;Honolulu Authority for Rapid Transportation;TMblue;3;preview
usatu;USA;Tren Urbano;TMblue;3;preview
usablrl;USA;Baltimore Light RailLink;TMred;4;preview
usanfta;USA;Buffalo Metro Rail;TMred;4;preview
usadcsc;USA;DC Streetcar;TMred;4;preview
usalynx;USA;Charlotte LYNX;TMred;4;preview
usambtlr;USA;MBTA Light Rail;TMred;4;preview
usamtlr;USA;Minnesota METRO Transit (Light Rail);TMred;4;preview
usanjlr;USA;NJ Transit Light Rail;TMred;4;preview
usaseplr;USA;SEPTA Trolleys;TMred;4;preview
usapitlr;USA;Pittsburgh Light Rail (The T);TMred;4;preview
usatide;USA;The Tide;TMred;4;preview
usartalr;USA;Cleveland RTA Light Rail;TMred;4;preview
usadart;USA;DART Light Rail;TMred;4;preview
usamtahc;USA;Houston METRORail;TMred;4;preview
usavmr;USA;Valley Metro Rail;TMred;4;preview
usautat;USA;UTA TRAX;TMred;4;preview
usalamlr;USA;L.A. Metro Light Rail;TMred;4;preview
usamts;USA;San Diego Trolley;TMred;4;preview
usartdz;USA;Denver RTD Light Rail;TMred;4;preview
usamuni;USA;San Francisco MUNI Light Rail;TMred;4;preview
usasrt;USA;Sacramento RT Light Rail;TMred;4;preview
usavta;USA;VTA Light Rail;TMred;4;preview
usabsda;USA;Bi-State Development Agency;TMred;4;preview
usanorta;USA;New Orleans Regional Transit Authority;TMred;4;preview
usamax;USA;MAX Light Rail;TMred;4;preview
usastlr;USA;Sound Transit Light Rail;TMred;4;preview
usaebart;USA;East Contra Costa County BART Extension;TMred;4;preview
usaair;USA;United States Landside Airport Rail Systems;TMyellow;5;preview
usaaair;USA;United States Airside Airport Rail Systems;TMyellow;5;preview
usahart;USA;TECO Line Streetcar Tampa;TMyellow;5;preview
usahunhts;USA;Huntsville Hospital Tram System;TMyellow;5;preview
usair;USA;United States Incline Railways;TMyellow;5;preview
usajta;USA;Jacksonville Skyway;TMyellow;5;preview
usakcsc;USA;RideKC Streetcar;TMyellow;5;preview
usalvct;USA;Las Vegas Casino Trams;TMyellow;5;preview
usammm;USA;Miami Metromover;TMyellow;5;preview
usarooist;USA;Roosevelt Island Tramway;TMyellow;5;preview
usasfcc;USA;San Francisco Cable Cars;TMyellow;5;preview
usatsc;USA;Tempe Streetcar;TMyellow;5;preview
usautas;USA;UTA S-Line;TMyellow;5;preview
usawvuprt;USA;Morgantown Personal Rapid Transit;TMyellow;5;preview
usarrm;USA;Rock Region Metro;TMyellow;5;preview
usast;USA;Sun Tran;TMyellow;5;preview
usaatlsc;USA;Atlanta Streetcar;TMyellow;5;preview
usadpm;USA;Detroit People Mover;TMyellow;5;preview
usaql;USA;QLine;TMyellow;5;preview
usacc;USA;Cincinnati Connector;TMyellow;5;preview
usaokcsc;USA;Oklahoma City Streetcar;TMyellow;5;preview
usamata;USA;Memphis Area Transit Authority;TMyellow;5;preview
usadsc;USA;Dallas Streetcar;TMyellow;5;preview
usaelpsc;USA;El Paso Streetcar;TMyellow;5;preview
usagal;USA;Galveston Island Trolley;TMyellow;5;preview
usamck;USA;McKinney Avenue Transit Authority;TMyellow;5;preview
usakensc;USA;Kenosha Streetcar;TMyellow;5;preview
usamkehop;USA;Milwaukee Hop;TMyellow;5;preview
usapsc;USA;Portland Streetcar;TMyellow;5;preview
usawst;USA;Willamette Shore Trolley;TMyellow;5;preview
usascm;USA;Seattle Center Monorail;TMyellow;5;preview
usassc;USA;Seattle Streetcars;TMyellow;5;preview
nawpy;NA;White Pass & Yukon Route Railway;TMyellow;5;preview
